"Statistics","date","values"
"RESIDENTIAL - FARM (count)","2017-04 (Apr)",65
"RESIDENTIAL - MULTI-FAMILY (count)","2017-04 (Apr)",65
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-04 (Apr)",4218
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-04 (Apr)",3388
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-04 (Apr)",138
"RESIDENTIAL - OTHER (count)","2017-04 (Apr)",947
"COMMERCIAL TOTAL (count)","2017-04 (Apr)",223
"COMMERCIAL - COMMERCE (count)","2017-04 (Apr)",105
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-04 (Apr)",81
"COMMERCIAL - OTHER (count)","2017-04 (Apr)",37
"RECREATIONAL TOTAL (count)","2017-04 (Apr)",109
"FARM TOTAL (count)","2017-04 (Apr)",74
"OTHER/UNKNOWN TOTAL (count)","2017-04 (Apr)",36
"FMV Sum ($ sum)","2017-04 (Apr)",NA
"FMV Average ($ mean)","2017-04 (Apr)",NA
"FMV Median ($ median)","2017-04 (Apr)",NA
"PTT Paid ($ sum)","2017-04 (Apr)",NA
"PTT Paid Median ($ median)","2017-04 (Apr)",NA
"Foreign Involvement Transactions (count)","2017-04 (Apr)",259
"Foreign Involvement transactions - Residential (count)","2017-04 (Apr)",231
"Foreign Involvement transactions - Commercial (count)","2017-04 (Apr)",5
"Foreign Involvement transactions - Other (count)","2017-04 (Apr)",23
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-04 (Apr)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-04 (Apr)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-04 (Apr)",NA
"Under $1 million (count, foreign involvement transactions)","2017-04 (Apr)",205
"$1 million - $3 million (count, foreign involvement transactions)","2017-04 (Apr)",42
"Over $3 million (count, foreign involvement transactions)","2017-04 (Apr)",12
"Additional Tax Paid ($ sum)","2017-04 (Apr)",NA
"Total Market Transactions (count)","2017-05 (May)",14824
"RESIDENTIAL TOTAL (count)","2017-05 (May)",14260
"RESIDENTIAL - ACREAGE (count)","2017-05 (May)",644
"RESIDENTIAL - COMMERCE (count)","2017-05 (May)",86
"RESIDENTIAL - FARM (count)","2017-05 (May)",66
"RESIDENTIAL - MULTI-FAMILY (count)","2017-05 (May)",130
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-05 (May)",6495
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-05 (May)",5099
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-05 (May)",245
"RESIDENTIAL - OTHER (count)","2017-05 (May)",1495
"COMMERCIAL TOTAL (count)","2017-05 (May)",308
"COMMERCIAL - COMMERCE (count)","2017-05 (May)",138
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-05 (May)",115
"COMMERCIAL - OTHER (count)","2017-05 (May)",55
"RECREATIONAL TOTAL (count)","2017-05 (May)",127
"FARM TOTAL (count)","2017-05 (May)",81
