DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec)
Mainland/Southwest,METRO VANCOUVER,Surrey,COMMERCIAL TOTAL (count),35,25,17,45,18,20,30
Mainland/Southwest,METRO VANCOUVER,Surrey,COMMERCIAL - COMMERCE (count),4,2,3,12,5,8,4
Mainland/Southwest,METRO VANCOUVER,Surrey,COMMERCIAL - STRATA NON-RESIDENTIAL (count),17,20,6,10,3,6,19
Mainland/Southwest,METRO VANCOUVER,Surrey,COMMERCIAL - OTHER (count),14,3,8,23,10,6,7
Mainland/Southwest,METRO VANCOUVER,Surrey,RECREATIONAL TOTAL (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,METRO VANCOUVER,Surrey,FARM TOTAL (count),4,NA,6,2,NA,1,3
Mainland/Southwest,METRO VANCOUVER,Surrey,OTHER/UNKNOWN TOTAL (count),3,3,2,NA,1,3,NA
Mainland/Southwest,METRO VANCOUVER,Surrey,FMV Sum ($ sum),"$1,555,417,305.69 ","$1,504,685,059.24 ","$1,225,783,097.68 ","$1,037,069,257.52 ","$643,488,241.12 ","$731,817,299.43 ","$685,444,739.86 "
Mainland/Southwest,METRO VANCOUVER,Surrey,FMV Average ($ mean),"$788,351.40 ","$777,213.36 ","$768,998.18 ","$803,306.94 ","$662,024.94 ","$731,086.21 ","$518,098.82 "
Mainland/Southwest,METRO VANCOUVER,Surrey,FMV Median ($ median),"$650,000.00 ","$610,000.00 ","$609,000.00 ","$550,000.00 ","$462,245.00 ","$485,000.00 ","$334,900.00 "
Mainland/Southwest,METRO VANCOUVER,Surrey,PTT Paid ($ sum),"$27,578,518.74 ","$26,153,043.18 ","$21,709,169.41 ","$19,610,387.43 ","$11,621,448.26 ","$14,757,121.00 ","$13,930,100.82 "
Mainland/Southwest,METRO VANCOUVER,Surrey,PTT Paid Median ($ median),"$10,740.00 ","$9,500.00 ","$9,700.00 ","$8,100.00 ","$6,900.00 ","$7,300.00 ","$3,948.00 "
Mainland/Southwest,METRO VANCOUVER,Vancouver,Total Market Transactions (count),2190,2089,1516,1241,966,1130,850
