"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-12 (Dec)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-06 (Jun)",29
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-07 (Jul)",33
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-08 (Aug)",21
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-09 (Sep)",27
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-10 (Oct)",77
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-11 (Nov)",39
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - OTHER (count)","2016-12 (Dec)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-06 (Jun)",373
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-07 (Jul)",291
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-08 (Aug)",265
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-09 (Sep)",189
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-10 (Oct)",131
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-11 (Nov)",146
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-12 (Dec)",103
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-06 (Jun)",2
